"מזהה","מספר הזמנה","ספק","תאריך","סטטוס"
"6877e6535c961158aca451ee","TEMP-20250716-9816","","2025-12-06","fully_received"
"687e5428892f29947d7dd9e8","TEMP-20250721-8741","DANIEL_BIOTECH","2025-07-21","cancelled"
"6887c6f1d9ed0d076b7423f8","DRAFT-BIORAD-1753728753080","","2025-07-28","draft"
"6888873bbe721280464a7805","DRAFT-BIORAD-1753777978694","לא צוין","2025-07-29","cancelled"
"688b219ac8d3fdb657dacc46","TEMP-20250731-5023","BIORAD","2025-07-31","fully_received"
"689b466762e80eb97d96e5d8","FC-SR-00001","DANIEL_BIOTECH","2025-08-12","cancelled"
"68a56fc4134f6bd5a9a7dd73","FC-SR-00002","BIORAD","2025-08-20","cancelled"
"68aefa1ab98ffc3b9b9371ae","REQ-20250827-122914-ODP8","BIORAD","2025-08-27","cancelled"
"68af0ad1fe3eafde89dc63aa","REQ-20250827-134032-28W9","ALMOG","2025-08-27","cancelled"
"68af0ad2d98787c15721e5dc","REQ-20250827-134034-12Q9","BIORAD","2025-08-27","cancelled"
"68af62f8c483fe9a8e0404cc","FC-OR-001","ELDAN","2025-08-27","cancelled"
"68af6304880691e44dcf1e84","FC-OR-002","BIORAD","2025-08-27","cancelled"
"68b7dcb0e40d9a035c9bd173","FC-OR-004","BIORAD","2025-09-03","pending_sap_details"
"68b7dcdbb85dc7c789f40042","FC-OR-005","BIORAD","2025-09-03","pending_sap_details"
"68b81e4032fffe643e3c2c6c","FC-OR-006","BIORAD","2025-09-03","pending_sap_details"
"68bea6c32fad18833f2e4fba","FC-OR-007","BIORAD","2025-09-08","fully_received"
"68bea71aa8ed0235da4270a0","FC-OR-008","ELDAN","2025-09-08","fully_received"
"68bfbf5e37da9c70145d956f","FC-OR-00009","ELDAN","2025-09-09","pending_sap_details"
"68aff6c13ce2d65d89b89d5b","FC-OR-003","BIORAD","2025-08-28","approved"
"68cc7145f69d9891f8c351e6","FC-OR-00010","BIORAD","2025-09-18","pending_sap_details"
"68f0b2da4a908612b313fbf1","FC-OR-00011","ELDAN","2025-10-16","pending_sap_details"
"68f0bf985c391e0105bfb18a","FC-OR-00012","ELDAN","2025-10-16","pending_sap_details"
"68f5d6016672aa76af69bb28","FC-OR-013","ELDAN","2025-10-20","pending_sap_details"
"68f5d637d728162b8752917f","FC-OR-014","BIORAD","2025-10-20","pending_sap_details"
"68f63fe06314a491e1ea61da","FC-OR-015","ELDAN","2025-10-20","pending_sap_details"
"68f64001ff514157b69014dd","FC-OR-016","BIORAD","2025-10-20","pending_sap_details"
"68f6403bce77ead6bf91306d","FC-OR-017","BIORAD","2025-10-20","pending_sap_details"
"68f6fc651026a2b0ff7b36d6","FC-OR-018","ELDAN","2025-10-21","approved"
