"מזהה","מספר משיכה","ספק","תאריך","סטטוס"
"688b38aa94869254ba403162","WD-20250731-7304","BIORAD","2025-07-31","cancelled"
"688b5d067b2dbcb9712d7371","WD-20250731-4784","BIORAD","2025-07-31","cancelled"
"68949d0b2e91a88eadb72b21","WD-20250807-7493","BIORAD","2025-08-07","cancelled"
"68b44f1067b24e744fab1e29","WD-20250831-1655","BIORAD","2025-08-31","completed"
"68bed810ca5ca419a81581cb","WD-20250908-0622","ELDAN","2025-09-08","submitted"
"68bede587f03a3d0dc238c2d","WD-20250908-4059","","2025-09-08","submitted"
"68bee190c364cc24050dd793","WD-20250908-4931","","2025-09-08","submitted"
"68bec829536447da57e53c05","WD-20250908-2793","ELDAN","2025-09-08","cancelled"
"68bed302db8f3ed74d71507a","WD-20250908-4003","ELDAN","2025-09-08","cancelled"
"68c2a9e020936337958d1db3","WD-20250911-1809","","2025-09-11","cancelled"
"68f66d5a5f061fee43eb2881","FC-WD-001","BIORAD","2025-10-20","cancelled"
"68f66e2bb407971866df6ad2","FC-WD-002","BIORAD","2025-10-20","cancelled"
"68fa2a0fab311c95a211c9b8","FC-WD-003","ELDAN","2025-10-23","cancelled"
"690350c6bb756e59a91e578c","FC-WD-004","BIORAD","2025-10-30","submitted"
